"","D1a","D1b","D2a","D2b","D4a","D4b","D7a","D7b"
"OTU138",0.0160199082354771,0,0.174498196281565,0.00649616507901848,0.418312226156893,0.0130197396052079,2.92141396435875e-05,0.155685131195335
"OTU139",0.00243668507141561,0.00349040139616056,0.00240495791323652,0.0118732428965254,0.00204069383590421,0.0255144897102058,0.00879345603271984,0.0188046647230321
"OTU140",0,0,0,0,0,0,0.00318434122115104,0.000364431486880466
"OTU141",0,0,0,0,0,0,0.000321355536079462,3.64431486880466e-05
"OTU142",0.000233299634497239,0.000174520069808028,4.62491906391638e-05,0.000627780658896744,0.000330112238160975,0.000139997200055999,0.000876424189307625,0.000510204081632653
"OTU143",0,0,9.24983812783276e-05,0,6.0020406938359e-05,6.99986000279994e-05,0.000204498977505112,0.00032798833819242
"OTU144",0,0,0,0,0,0,0.000788781770376862,0.000255102040816327
"OTU145",0,0,0.00097123300342244,0,0.00120040813876718,0.000279994400111998,0.00131463628396144,0.000473760932944606
"OTU146",0.0041475490577287,0.0014543339150669,0.0058736472111738,0.00559543630755793,0.0103235099933978,0.0155046899062019,0.0285130002921414,0.022631195335277
"OTU147",0,2.9086678301338e-05,4.62491906391638e-05,0.000600485847640364,6.0020406938359e-05,0.00475990480190396,2.92141396435875e-05,0.00368075801749271
"OTU148",0.00114057599087539,0.000698080279232112,0.00402367958560725,0.000518601413871223,0.00327111217814057,0.00482990340193196,0.0141104294478528,0.00561224489795918
"OTU149",0.201881950384944,0.207766143106457,0.000693737859587457,0.00141933018533177,0.0302202748934638,0.0582738345233095,0.0493426818580193,0.0383746355685131
"OTU150",0.00326619488296135,0.00261780104712042,0.0058736472111738,0.0235827169255125,0.00489166316547626,0.0241845163096738,0.004674262342974,0.0321793002915452
"OTU151",0.0095134406511652,0.00276323443862711,0.00480991582647304,0.00180145754292109,0.001170397935298,0.00776984460310794,0.00108092316681274,0.0016399416909621
"OTU152",0,0,9.24983812783276e-05,0,3.00102034691795e-05,0.000139997200055999,5.8428279287175e-05,0.000182215743440233
"OTU153",0.000518443632216087,0.000319953461314718,0.00332994172601979,0.000818844337691405,0.00456155092731529,0.00433991320173597,0.0107800175284838,0.00182215743440233
"OTU154",0,0,0,0,9.00306104075386e-05,0,0.00151913526146655,0
"OTU155",0.000129610908054022,0.000116346713205352,0,0,0,0,0.000175284837861525,0
"OTU156",0.000855431993156544,0.000232693426410704,0.00124872814725742,0.00117367688402435,0.00135045915611308,0.000769984600307994,0.00496640373940987,0.0027332361516035
"OTU157",0,0,0.000739987050226621,0,0.00120040813876718,3.49993000139997e-05,0.00178206251825884,0.00043731778425656
"OTU158",7.77665448324131e-05,5.8173356602676e-05,0,0.00193793159920299,0,0.000734985300293994,0.000146070698217937,0.00142128279883382
"OTU159",0,0,0,0,0,0,0,0.00142128279883382
"OTU160",0.0111465380926459,0.0106457242582897,0.0138747571917491,0.0222179763626935,0.00156053058039734,0.00304493910121798,0.00254163014899211,0.00145772594752187
"OTU161",0,0,0,0,0,0,0.000730353491089687,3.64431486880466e-05
"OTU162",0.000233299634497239,0.000349040139616056,0.000924983812783276,0.00106449763899883,3.00102034691795e-05,3.49993000139997e-05,2.92141396435875e-05,3.64431486880466e-05
"OTU163",0,0,4.62491906391638e-05,8.18844337691405e-05,0,0.000104997900041999,0.000262927256792287,3.64431486880466e-05
"OTU164",0,0,0,0,0,0,0.000408997955010225,0
"OTU165",0,0,0,0,0.000120040813876718,0.000244995100097998,0.00449897750511247,0.00149416909620991
"OTU166",5.18443632216087e-05,0,0.000184996762556655,0.000136474056281901,0.000150051017345898,0.000769984600307994,0.00195734735612036,0.0010932944606414
"OTU167",0.00606579049692822,0.00651541593949971,0.0142909999075016,0.006605344324044,0.0246683872516656,0.0431191376172477,0.0529652351738241,0.0391034985422741
"OTU168",0,0,0,0,0,3.49993000139997e-05,0.00058428279287175,0.00010932944606414
"OTU169",0.000233299634497239,0.000116346713205352,0.000416242715752474,0.000109179245025521,0.000570193865914411,0.000594988100237995,0.0112474437627812,0.00244169096209913
"OTU170",0,0,0,0.000191063678794661,0,0,0,0
"OTU171",2.59221816108044e-05,0.000116346713205352,0,5.45896225127603e-05,0,0,0,0
"OTU172",0.000311066179329652,5.8173356602676e-05,0.000138747571917491,0.000327537735076562,0.000840285697137027,0.00118997620047599,0.00222027461291265,0.00262390670553936
"OTU173",0,2.9086678301338e-05,0,0,3.00102034691795e-05,0.000139997200055999,0.000175284837861525,0.000291545189504373
"OTU174",7.77665448324131e-05,0.00014543339150669,0,0.00193793159920299,9.00306104075386e-05,0.000699986000279994,0.000408997955010225,0.000801749271137026
"OTU175",0.00241076288980481,0.00241419429901105,0.00351493848857645,0.00644157545650572,0.000120040813876718,0.000699986000279994,0.000262927256792287,0.000400874635568513
"OTU176",2.59221816108044e-05,0,0,0,0.000120040813876718,3.49993000139997e-05,0.000642711072158925,0.00010932944606414
"OTU177",2.59221816108044e-05,0,0,0,3.00102034691795e-05,0.000104997900041999,0.0002337131171487,0.00043731778425656
"OTU178",0,0,0,0,0,0.000174996500069999,2.92141396435875e-05,0.00021865889212828
"OTU179",0.000518443632216087,0.000319953461314718,0,0,0.000150051017345898,6.99986000279994e-05,0.000175284837861525,0.00010932944606414
"OTU180",0,0,0,2.72948112563802e-05,3.00102034691795e-05,0,0.0002337131171487,0
"OTU181",0.00181455271275631,0.00159976730657359,0.00184996762556655,0.00185604716543385,0.00111037752835964,0.00118997620047599,0.000730353491089687,0.00043731778425656
"OTU182",0,0,0,2.72948112563802e-05,0,0.000804983900321994,5.8428279287175e-05,0.000364431486880466
"OTU183",0,0,0.000416242715752474,0,0.000120040813876718,0.000209995800083998,0.00429447852760736,0.00189504373177843
"OTU184",0,0,0.000369993525113311,2.72948112563802e-05,6.0020406938359e-05,0,0,0
"OTU185",0,8.7260034904014e-05,0,0.000436716980102083,6.0020406938359e-05,0.00104997900041999,0.000292141396435875,0.000728862973760933
"OTU186",0.000362910542551261,0,0.00527240773286467,0,0.00501170397935298,0,0,0
"OTU187",0.000233299634497239,0.000174520069808028,0.000138747571917491,0.00215629008925403,6.0020406938359e-05,0,8.76424189307625e-05,7.28862973760933e-05
"OTU188",0,0,0,2.72948112563802e-05,0,3.49993000139997e-05,0,0.000291545189504373
"OTU189",5.18443632216087e-05,5.8173356602676e-05,0.000323744334474147,0.000245653301307421,0.000360122441630154,0.000244995100097998,0.00035056967572305,0.00102040816326531
"OTU190",0.000259221816108044,0.000261780104712042,0.000277495143834983,0.000191063678794661,9.00306104075386e-05,6.99986000279994e-05,8.76424189307625e-05,7.28862973760933e-05
"OTU191",0,0,0.000231245953195819,0,6.0020406938359e-05,3.49993000139997e-05,0,7.28862973760933e-05
"OTU192",0,0,4.62491906391638e-05,0,3.00102034691795e-05,0,0.00242477359041776,0.00010932944606414
"OTU193",7.77665448324131e-05,0.000174520069808028,0.000231245953195819,0.000382127357589322,3.00102034691795e-05,3.49993000139997e-05,5.8428279287175e-05,0
"OTU194",0,0,0,0,0,0,0.000379783815366637,0
"OTU195",0.000155533089664826,2.9086678301338e-05,0,0.000245653301307421,0,0,2.92141396435875e-05,3.64431486880466e-05
"OTU196",0.0150348653342665,0.0184409540430483,0.0205346406437887,0.0311160848322734,0.0211872036492407,0.0199496010079798,0.0180251241600935,0.0142857142857143
"OTU197",2.59221816108044e-05,2.9086678301338e-05,0,2.72948112563802e-05,9.00306104075386e-05,6.99986000279994e-05,0.000175284837861525,0.000364431486880466
"OTU198",0,0,0,0,0,0.000209995800083998,0,3.64431486880466e-05
